nama_series;kode_wilayah;wilayah;tahun;nilai;target
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;91;Papua Barat;2015;72.34;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2001;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2002;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2003;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2004;;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2005;4.61;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2006;4.6;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2007;11.13;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2008;13.5;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2009;16.93;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2010;16.47;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2011;17.26;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2012;20.5;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2013;25.08;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2014;26.31;
Proporsi Penduduk yang Memiliki Telepon Seluler di Daerah Perdesaan;94;Papua;2015;32.51;
